acousticness,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.992,"['Robert Schumann', 'Vladimir Horowitz']",0.468,158973,0.0184,0.912,10,0.103,-27.785,1,"Humoreske, Op. 20: Innig",0,1928,0.0447,59.38,0.235,1928
0.992,['Ignacio Corsini'],0.698,168400,0.192,0.00577,2,0.243,-17.343,1,La Carreta - Remasterizado,0,14-05-1928,0.128,78.218,0.681,1928
0.993,"['Francisco Canaro', 'Charlo']",0.836,194000,0.207,0.522,7,0.321,-9.54,1,"Dentra, No Llores - Remasterizado",0,03-10-1928,0.152,112.369,0.595,1928
0.992,"['Frédéric Chopin', 'Vladimir Horowitz']",0.233,519933,0.113,0.879,1,0.161,-18.276,1,"Barcarolle, Op. 60",0,1928,0.0397,64.082,0.0642,1928
0.993,['Paul Whiteman'],0.641,161587,0.192,0.5,3,0.593,-15.905,1,I'd Rather Cry Over You,0,1928,0.04,106.052,0.704,1928
0.995,"['Francisco Canaro', 'Charlo']",0.461,204867,0.195,0.886,10,0.0969,-15.059,1,En un Pueblito de España - Remasterizado,0,21-09-1928,0.0609,76.419,0.844,1928
0.989,"['Muzio Clementi', 'Vladimir Horowitz']",0.222,351000,0.0113,0.954,5,0.0873,-33.218,1,"Sonata quasi Concerto, Op. 33, No. 3 in C: II. Adagio e cantabile, con espressione",0,1928,0.043,74.04,0.0917,1928
0.991,['Ignacio Corsini'],0.431,108573,0.315,0.883,11,0.108,-21.753,0,Caido del Cielo - Remasterizado,0,14-05-1928,0.0464,65.735,0.711,1928
0.991,['Ted Weems & His Orchestra'],0.839,162147,0.37,0.0419,2,0.104,-11.602,1,"Chick, Chick, Chick, Chick, Chicken - Lay A Little Egg For Me",1,01-07-1928,0.08,115.063,0.976,1928
0.991,"['Francisco Canaro', 'Charlo']",0.829,175493,0.199,6.54E-06,10,0.119,-9.2,0,Triste Paica - Remasterizado,0,20-09-1928,0.0619,116.214,0.681,1928
0.99,['Ignacio Corsini'],0.709,130813,0.148,0.0262,3,0.131,-18.933,0,Piedad - Remasterizado,0,14-05-1928,0.0775,122.415,0.516,1928
0.872,['Taj Mahal'],0.571,155893,0.204,0.779,6,0.197,-18.61,1,Country Blues #1,0,1928,0.0328,129.289,0.0932,1928
0.991,['Francisco Canaro'],0.808,194413,0.215,0.524,9,0.0906,-12.205,1,La Cabeza del Italiano - Instrumental (Remasterizado),0,17-09-1928,0.0851,110.894,0.866,1928
0.989,"['Robert Schumann', 'Vladimir Horowitz']",0.368,163800,0.124,0.892,0,0.105,-21.742,0,"Humoreske, Op. 20: Intermezzo",0,1928,0.0371,128.418,0.266,1928
0.732,['Seweryn Goszczyński'],0.72,100700,0.286,0,5,0.292,-15.861,1,Chapter 2.23 - Zamek kaniowski,0,1928,0.939,114.059,0.695,1928
0.991,"['Muzio Clementi', 'Vladimir Horowitz']",0.317,214667,0.0916,0.918,10,0.104,-30.682,1,"Rondo, No. 2",0,1928,0.0411,80.74,0.511,1928
0.947,['John Raitt'],0.333,122733,0.146,0.000426,2,0.265,-16.99,1,Where's the Mate for Me?,2,1928,0.0353,75.372,0.234,1928
0.986,['Francisco Canaro'],0.613,303493,0.187,0.804,1,0.111,-13.959,1,Pájaro Azul - Instrumental (Remasterizado),0,21-09-1928,0.255,116.325,0.3,1928
0.977,['Ted Weems & His Orchestra'],0.757,180147,0.49,0.043,10,0.0885,-9.198,1,It Was Only A Sun Shower,0,01-07-1928,0.035,105.734,0.836,1928
0.974,"['Frédéric Chopin', 'Vladimir Horowitz']",0.188,236493,0.0891,0.896,0,0.124,-25.936,1,"Andante spianato in E-Flat Major, Op. 22",3,1928,0.0326,59.946,0.164,1928
0.989,['Francisco Canaro'],0.858,168413,0.249,8.79E-05,2,0.181,-8.897,1,Che Italiano - Instrumental (Remasterizado),0,16-09-1928,0.224,115.858,0.611,1928
0.989,['Paul Whiteman'],0.441,201053,0.0454,0.0752,7,0.0801,-21.884,1,Chiquita,0,1928,0.0463,133.475,0.194,1928
