id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,dancebility_new,tempo_rate,popularity
7GX5flRQZVHRAGd6B4TmD,XO TOUR Llif3,Lil Uzi Vert,0.732,0.75,11.0,-6.3660000000000005,0.0,0.231,0.00264,0.0,0.109,0.401,155.096,182707.0,4.0,1,fast,1
2ijef6ni2amuunRoKTlgw,Sin Pijama,Becky G,0.7909999999999999,0.745,11.0,-3.695,0.0,0.0464,0.354,2.9299999999999997e-05,0.10400000000000001,0.82,94.014,188560.0,4.0,1,moderate,1
2BgEsaKNfHUdlh97KmvFy,2002,Anne-Marie,0.6970000000000001,0.6829999999999999,1.0,-2.8810000000000002,0.0,0.11699999999999999,0.0372,0.0,0.13699999999999998,0.603,96.133,186987.0,4.0,1,moderate,1
0TlLq3lA83rQOYtrqBqSc,Nonstop,Drake,0.912,0.41200000000000003,7.0,-8.074,1.0,0.124,0.0164,0.013000000000000001,0.10400000000000001,0.42200000000000004,154.983,238614.0,4.0,1,fast,1
7AQim7LbvFVZJE3O8TYgf,Fuck Love (feat. Trippie Redd),XXXTENTACION,0.797,0.5329999999999999,0.0,-9.74,0.0,0.0412,0.0172,0.000152,0.10300000000000001,0.32899999999999996,131.036,146520.0,4.0,1,fast,1
2QZ7WLBE8h2y1Y5Fb8RYb,In My Blood,Shawn Mendes,0.622,0.7120000000000001,5.0,-7.321000000000001,1.0,0.066,0.0573,0.0,0.13,0.48700000000000004,140.025,211360.0,4.0,1,fast,1
7vGuf3Y35N4wmASOKLUVV,Silence,Marshmello,0.52,0.7609999999999999,4.0,-3.093,1.0,0.0853,0.256,4.96e-06,0.17,0.28600000000000003,141.971,180823.0,4.0,0,fast,1
5OCJzvD7sykQEKHH7qAC3,God is a woman,Ariana Grande,0.602,0.6579999999999999,1.0,-5.934,1.0,0.0558,0.0233,5.9999999999999995e-05,0.237,0.268,145.031,197547.0,4.0,1,fast,0
1j6xOGusnyXq3l6IryKF3,D?jala que vuelva (feat. Manuel Turizo),Piso 21,0.6809999999999999,0.7879999999999999,1.0,-4.323,1.0,0.0785,0.0482,0.0,0.0753,0.8390000000000001,170.019,220117.0,4.0,1,very fast,1
66BjcDhhwWCcQIBxHMpKX,Flames,David Guetta,0.631,0.649,5.0,-5.892,0.0,0.0385,0.0817,3.8e-06,0.0934,0.42100000000000004,93.95,194680.0,4.0,1,moderate,0
0WdGQhoAP2LBsqr5Jhit2,What Lovers Do,Maroon 5,0.799,0.597,5.0,-5.131,0.0,0.0611,0.0788,5.66e-06,0.1,0.419,110.001,199849.0,4.0,1,fast,1
4w8niZpiMy6qz1mntFA5u,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.841,0.7979999999999999,1.0,-4.206,0.0,0.22899999999999998,0.153,3.33e-06,0.0618,0.591,95.948,212500.0,4.0,1,moderate,1
5Gu0PDLN4YJeW75PpBSg9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,0.6629999999999999,0.708,8.0,-4.154,1.0,0.0473,0.0337,0.0,0.0841,0.742,103.073,174800.0,4.0,1,moderate,1
6QgjcU0zLnzq5OrUoSZ3O,Feel It Still,Portugal. The Man,0.8009999999999999,0.795,1.0,-5.115,0.0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253.0,4.0,1,moderate,1
77UjLW8j5UAGAGVGhR5oU,Pray For Me (with Kendrick Lamar),The Weeknd,0.735,0.677,2.0,-4.979,1.0,0.09300000000000001,0.0762,2.17e-05,0.111,0.188,100.584,211440.0,4.0,1,moderate,1
6n4U3TlzUGhdSFbUUhTvL,Walk It Talk It,Migos,0.909,0.628,2.0,-5.456,1.0,0.201,0.0739,0.0,0.10800000000000001,0.406,145.905,276147.0,4.0,1,fast,1
5k38wzpLb15YgncyWdTZE,Him & I (with Halsey),G-Eazy,0.589,0.731,2.0,-6.343,1.0,0.0868,0.0534,0.0,0.308,0.191,87.90799999999999,268867.0,4.0,0,moderate,1
32lItqlMi4LBhb4k0BaSa,Candy Paint,Post Malone,0.67,0.654,4.0,-5.944,1.0,0.153,0.627,1.02e-06,0.071,0.43799999999999994,180.024,227533.0,4.0,1,very fast,0
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,0.63,0.804,6.0,-4.183,1.0,0.0363,0.215,0.0,0.253,0.49200000000000005,123.146,220293.0,4.0,1,fast,1
4QtiVmuA88tPQiCOHZuQ5,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0.792,0.895,1.0,-3.112,0.0,0.0589,0.165,0.0,0.0501,0.794,94.96799999999999,201526.0,4.0,1,moderate,1
6Za3190Sbw39BBC77WSS1,Criminal,Natti Natasha,0.8140000000000001,0.813,2.0,-3.023,0.0,0.0561,0.03,9.329999999999999e-05,0.255,0.8390000000000001,79.997,232550.0,4.0,1,moderate,1
1ZAyjvIk9YiD76yYy0TEG,Plug Walk,Rich The Kid,0.8759999999999999,0.519,11.0,-6.531000000000001,1.0,0.14300000000000002,0.20199999999999999,0.0,0.10800000000000001,0.158,94.98100000000001,175230.0,4.0,1,moderate,1
0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,0.35100000000000003,0.29600000000000004,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.28399999999999,200186.0,4.0,0,fast,0
2UVbBKQOdFAekPTRsnkzc,Stir Fry,Migos,0.815,0.816,2.0,-5.474,1.0,0.26899999999999996,0.00299,0.0,0.159,0.498,181.967,190288.0,4.0,1,very fast,1
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,0.9079999999999999,0.621,1.0,-6.638,0.0,0.102,0.00028199999999999997,5.39e-05,0.0958,0.42100000000000004,150.011,177000.0,4.0,1,fast,1
48zFZh27QU5qsrBjn4C2F,Vaina Loca,Ozuna,0.754,0.805,6.0,-4.249,1.0,0.0752,0.315,0.0,0.203,0.555,93.98299999999999,176133.0,4.0,1,moderate,1
1bhUWB0zJMIKr9yVPrkEu,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,0.5870000000000001,0.299,8.0,-7.365,1.0,0.0263,0.779,0.0,0.12300000000000001,0.35600000000000004,94.992,259550.0,3.0,0,moderate,0
5cepAtqnEQ6yVG6088zMM,Coraz?n (feat. Nego do Borel),Maluma,0.722,0.738,9.0,-6.0729999999999995,0.0,0.247,0.32799999999999996,1.47e-05,0.198,0.748,198.075,184720.0,4.0,1,very fast,1
5Z3GHaZ6ec9bsiI5Benrb,Young Dumb & Broke,Khalid,0.7979999999999999,0.539,1.0,-6.351,1.0,0.0421,0.19899999999999998,1.66e-05,0.165,0.39399999999999996,136.94899999999998,202547.0,4.0,1,fast,1
5Y9fnynLlIvqtM710MHzf,S?guelo Bailando,Ozuna,0.855,0.664,9.0,-7.11,0.0,0.0607,0.165,3.97e-05,0.0937,0.626,98.015,226800.0,4.0,1,moderate,1
3Ga6eKrUFf12ouh9Yw3v2,Downtown,Anitta,0.775,0.679,4.0,-4.985,0.0,0.135,0.18,7.26e-05,0.068,0.619,166.00799999999998,193456.0,4.0,1,fast,1
3xcCix7Jv1Rp90YVmgo35,Bella,Wolfine,0.909,0.493,3.0,-6.688,1.0,0.0735,0.128,0.000147,0.127,0.8440000000000001,94.016,197120.0,4.0,1,moderate,1
5N5k9nd479b1xpDZ4usjr,Promises (with Sam Smith),Calvin Harris,0.7809999999999999,0.768,11.0,-5.9910000000000005,1.0,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309.0,4.0,1,fast,1
6vN77lE9LK6HP2DewaN6H,Yes Indeed,Lil Baby,0.9640000000000001,0.34600000000000003,5.0,-9.309,0.0,0.53,0.035,0.0,0.10800000000000001,0.562,119.958,142273.0,4.0,1,fast,1
2P91MQbaiQOfbiz9VqhqK,I Like Me Better,Lauv,0.752,0.505,9.0,-7.621,1.0,0.253,0.535,2.55e-06,0.10400000000000001,0.419,91.97,197437.0,4.0,1,moderate,1
2xGjteMU3E1tkEPVFBO08,This Is Me,Keala Settle,0.284,0.7040000000000001,2.0,-7.276,1.0,0.18600000000000003,0.00583,0.00011499999999999999,0.0424,0.1,191.702,234707.0,4.0,0,very fast,1
3GVkPk8mqxz0itaAriG1L,Everybody Dies In Their Nightmares,XXXTENTACION,0.7340000000000001,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.11199999999999999,0.6890000000000001,129.953,95467.0,4.0,1,fast,1
630sXRhIcfwr2e4RdNtjK,Rewrite The Stars,Zac Efron,0.684,0.619,10.0,-7.005,1.0,0.0386,0.0716,0.0,0.122,0.284,125.046,217440.0,4.0,1,fast,0
2xmrfQpmS2iJExTlklLoA,I Miss You (feat. Julia Michaels),Clean Bandit,0.638,0.6579999999999999,3.0,-6.318,1.0,0.0456,0.245,3.77e-06,0.0919,0.33,105.07600000000001,205748.0,4.0,1,moderate,0
5WvAo7DNuPRmk4APhdPzi,No Brainer,DJ Khaled,0.552,0.76,0.0,-4.706,1.0,0.342,0.0733,0.0,0.0865,0.639,135.702,260000.0,5.0,0,fast,1
1j4kHkkpqZRBwE0A4CN4Y,Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.43700000000000006,11.0,-6.593,0.0,0.039,0.10099999999999999,1.27e-06,0.106,0.0967,180.043,239000.0,4.0,0,very fast,0
3EPXxR3ImUwfayaurPi3c,Be Alright,Dean Lewis,0.5529999999999999,0.586,11.0,-6.319,1.0,0.0362,0.6970000000000001,0.0,0.0813,0.44299999999999995,126.684,196373.0,4.0,0,fast,0
