,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artists
16,Dancing With A Stranger (with Normani),84,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,6Qs4SXO9dwPj5GKvVOv8Ki,171030,4,Sam Smith
17,bury a friend,81,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,4SSnFejRGlZikf02HLewEF,193143,4,Billie Eilish
18,Old Town Road,80,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,0F7FA14euOIX8KcbEturGH,113000,4,Lil Nas X
19,Talk (feat. Disclosure),78,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984,6TqXcAFInzjp0bODyvrWEq,197573,4,Khalid
20,when the party's over,86,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,43zdsphuZLzwA9k4DJhU0I,196077,4,Billie Eilish
21,Beautiful People (feat. Khalid),79,0.64,0.647,5,-8.114,0,0.186,0.124,0.0,0.0801,0.546,92.979,70eFcWOvlMObDhURTqT4Fv,197867,4,Ed Sheeran
22,Dance Monkey,71,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku,209755,4,Tones And I
23,"break up with your girlfriend, i'm bored",80,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,4kV4N9D1iKVxx1KLvtTpjS,190440,4,Ariana Grande
24,MIDDLE CHILD,82,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,2JvzF1RMd7lE3KmFlsyZD8,213594,4,J. Cole
25,Goodbyes (Feat. Young Thug),13,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,6vBdBCoOhKHiYDDOcorfNo,174960,4,Post Malone
26,High Hopes,84,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,1rqqCSm0Qe4I9rUvWncaom,190947,4,Panic! At The Disco
27,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",72,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,0KoiMHhqKLoL4xM54rcWYY,212500,4,DJ Snake
28,Ransom,86,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,1lOe9qE0vR9zwWQAOk6CoO,131240,4,Lil Tecca
29,lovely (with Khalid),88,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,0u2P5u6lvoDfwTYjAADbn4,200186,4,Billie Eilish
30,SICKO MODE,90,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,2xLMifQCjDGFmkHkpNLD9h,312820,4,Travis Scott
31,Going Bad (feat. Drake),82,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,2IRZnDFmlqMuOrYOLnZZyc,180522,4,Meek Mill
32,Don't Call Me Up,82,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,5WHTFyqSii0lmT9R21abT8,178480,4,Mabel
33,Callaita,84,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,2TH65lNHgvLxCKXM3apjxI,250534,4,Bad Bunny
34,MIA (feat. Drake),80,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,116H0KvKr2Zl4RPuVBruDO,210368,4,Bad Bunny
35,Truth Hurts,73,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,5qmq61DAAOUaW8AUo8xKhh,173325,4,Lizzo
36,Eastside (with Halsey & Khalid),75,0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,0.329,89.949,7FGq80cy8juXBCD2nrqdWU,170770,4,benny blanco
37,Bohemian Rhapsody - 2011 Mix,82,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,4u7EnebtmKWzUH433cf5Qv,354320,4,Queen
38,Secreto,76,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,5W83ErFkO3aKAIS1WMi6u0,258800,4,Anuel AA
39,China,84,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK,301714,4,Anuel AA
40,If I Can't Have You,75,0.691,0.823,2,-4.197,1,0.0623,0.487,0.0,0.134,0.87,123.935,2bT1PH7Cw3J9p3t7nlXCdh,191467,4,Shawn Mendes
41,Otro Trago,78,0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,1Ej96GIBCTvgH7tNX1r3qr,225933,4,Sech
42,i'm so tired...,37,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,7COXchtUOMd6uIT6HvmRaI,162583,4,Lauv
43,Piece Of Your Heart,84,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,1DFD5Fotzgn6yYXkYsKiGs,152913,4,MEDUZA
44,SOS (feat. Aloe Blacc),79,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,0.376,100.001,2x0RZdkZcD8QRI53XT4GI5,157202,4,Avicii
45,Better Now,84,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,7dt6x5M1jzdTEt8oCbisTK,231267,4,Post Malone
46,Soltera - Remix,72,0.795,0.783,5,-4.271,1,0.0432,0.361,0.0,0.437,0.799,92.01,4t9a07PAghtQMRAIP9FQ7Z,266087,4,Lunay
47,Adan y Eva,71,0.767,0.709,1,-4.47,1,0.336,0.323,0.0,0.0745,0.72,171.993,132ALUzVLmqYB4UsBj5qD6,256972,4,Paulo Londra
48,Let Me Down Slowly,84,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,2qxmye6gAegTMjLKEBoR3d,169354,4,Alec Benjamin
49,rockstar (feat. 21 Savage),86,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,0e7ipj03S05BNilyu5bRzt,218147,4,Post Malone
